,subject,predicate,object,from,until,object_has_years,subject_has_years,not_imputable_until
154,Mike Price,was born in,Denver,1946,1946,False,False,False
155,Barbara Rush,was born in,Denver,1927,1927,False,False,False
156,John Fante,was born in,Denver,1909,1909,False,False,False
157,Ann Fienup-Riordan,was born in,Denver,1948,1948,False,False,False
158,Matthew Meselson,was born in,Denver,1930,1930,False,False,False
159,Gerald P. Carr,was born in,Denver,1932,1932,False,False,False
160,James Smith McDonnell,was born in,Denver,1899,1899,False,False,False
161,Bradley Cooper,was born in,Philadelphia,1975,1975,False,False,False
162,Val Avery,was born in,Philadelphia,1924,1924,False,False,False
163,Bebe Moore Campbell,was born in,Philadelphia,1950,1950,False,False,False
164,John Rogers (baseball),was born in,Philadelphia,1844,1844,False,False,False
165,Vincent Hughes,was born in,Philadelphia,1956,1956,False,False,False
166,Carolyn Goodman (politician),was born in,Philadelphia,1939,1939,False,False,False
167,A. W. Tillinghast,was born in,Philadelphia,1876,1876,False,False,False
168,Robert Merrihew Adams,was born in,Philadelphia,1937,1937,False,False,False
169,Gail Zappa,was born in,Philadelphia,1945,1945,False,False,False
170,Craig Shoemaker,was born in,Philadelphia,1958,1958,False,False,False
171,Kim Delaney,was born in,Philadelphia,1961,1961,False,False,False
172,F. Albert Cotton,was born in,Philadelphia,1930,1930,False,False,False
173,Nancy Meyers,was born in,Philadelphia,1949,1949,False,False,False
174,Merrill Cook,was born in,Philadelphia,1946,1946,False,False,False
175,Ginger Gilmour,was born in,Philadelphia,1949,1949,False,False,False
176,Martin Sherman,was born in,Philadelphia,1938,1938,False,False,False
177,Mildred Davis,was born in,Philadelphia,1901,1901,False,False,False
178,Bill Cosby,was born in,Philadelphia,1937,1937,False,False,False
179,Jason Richwine,was born in,Philadelphia,1982,1982,False,False,False
180,Victory Bateman,was born in,Philadelphia,1865,1865,False,False,False
181,John M. Read,was born in,Philadelphia,1797,1797,False,False,False
182,Lee Guber,was born in,Philadelphia,1920,1920,False,False,False
183,Chris Matthews,was born in,Philadelphia,1945,1945,False,False,False
184,Gary Dourdan,was born in,Philadelphia,1966,1966,False,False,False
185,Paul R. Ehrlich,was born in,Philadelphia,1932,1932,False,False,False
186,Kevin Bacon,was born in,Philadelphia,1958,1958,False,False,False
187,William Keighley,was born in,Philadelphia,1889,1889,False,False,False
188,Amos E. Joel Jr.,was born in,Philadelphia,1918,1918,False,False,False
189,James Otto Lewis,was born in,Philadelphia,1799,1799,False,False,False
190,Peter Nowell,was born in,Philadelphia,1928,1928,False,False,False
191,"William Christian Bullitt, Jr.",was born in,Philadelphia,1891,1891,False,False,False
192,Caleb Deschanel,was born in,Philadelphia,1944,1944,False,False,False
193,Oscar Goodman,was born in,Philadelphia,1939,1939,False,False,False
194,Edward Norris,was born in,Philadelphia,1911,1911,False,False,False
195,Daniel Spielman,was born in,Philadelphia,1970,1970,False,False,False
196,Parker Stevenson,was born in,Philadelphia,1952,1952,False,False,False
197,Howard Martin Temin,was born in,Philadelphia,1934,1934,False,False,False
198,Marc Mezvinsky,was born in,Philadelphia,1977,1977,False,False,False
199,Florence Reed,was born in,Philadelphia,1883,1883,False,False,False
200,Jeanette MacDonald,was born in,Philadelphia,1903,1903,False,False,False
201,Edward King (jurist),was born in,Philadelphia,1794,1794,False,False,False
202,Robert G. Gallager,was born in,Philadelphia,1931,1931,False,False,False
203,Richard Neustadt,was born in,Philadelphia,1919,1919,False,False,False
204,Patrick Cronin (actor),was born in,Philadelphia,1941,1941,False,False,False
205,Richard Brooks,was born in,Philadelphia,1912,1912,False,False,False
206,Josh Singer,was born in,Philadelphia,1972,1972,False,False,False
207,Hugh Marlowe,was born in,Philadelphia,1911,1911,False,False,False
208,Clifford Odets,was born in,Philadelphia,1906,1906,False,False,False
209,John A. Lawless,was born in,Philadelphia,1957,1957,False,False,False
210,Will Smith,was born in,Philadelphia,1968,1968,False,False,False
211,Ethelind Terry,was born in,Philadelphia,1899,1899,False,False,False
212,Paul Douglas (actor),was born in,Philadelphia,1907,1907,False,False,False
213,Harry Weese,was born in,"Evanston, Illinois",1915,1915,False,False,False
214,Justin Whitlock Dart,was born in,"Evanston, Illinois",1907,1907,False,False,False
215,Stuart Lancaster (actor),was born in,"Evanston, Illinois",1920,1920,False,False,False
216,Elizabeth McGovern,was born in,"Evanston, Illinois",1961,1961,False,False,False
217,Colleen Bell,was born in,"Evanston, Illinois",1967,1967,False,False,False
218,Roger MacBride,was born in,"New Rochelle, New York",1929,1929,False,False,False
219,Elizabeth Berridge (actress),was born in,"New Rochelle, New York",1962,1962,False,False,False
220,Jay Leno,was born in,"New Rochelle, New York",1950,1950,False,False,False
221,Robert E. Sherwood,was born in,"New Rochelle, New York",1896,1896,False,False,False
222,James Neill,was born in,"Savannah, Georgia",1860,1860,False,False,False
223,W. Jason Morgan,was born in,"Savannah, Georgia",1935,1935,False,False,False
224,George Cobb (golf),was born in,"Savannah, Georgia",1914,1914,False,False,False
225,Bill Woodson,was born in,"Glendale, California",1917,1917,False,False,False
226,Frank Marshall (producer),was born in,"Glendale, California",1946,1946,False,False,False
227,A Martinez,was born in,"Glendale, California",1948,1948,False,False,False
228,Wendy Moniz,was born in,"Kansas City, Missouri",1969,1969,False,False,False
229,Elaine Joyce,was born in,"Kansas City, Missouri",1945,1945,False,False,False
230,Alice Joyce,was born in,"Kansas City, Missouri",1890,1890,False,False,False
231,Mireille Enos,was born in,"Kansas City, Missouri",1975,1975,False,False,False
232,Marguerite Churchill,was born in,"Kansas City, Missouri",1910,1910,False,False,False
233,Robert Lowery (actor),was born in,"Kansas City, Missouri",1913,1913,False,False,False
234,Grace La Rue,was born in,"Kansas City, Missouri",1882,1882,False,False,False
235,John Ashley (actor),was born in,"Kansas City, Missouri",1934,1934,False,False,False
236,Hall Bartlett,was born in,"Kansas City, Missouri",1922,1922,False,False,False
237,Rob Wagner,was born in,Detroit,1872,1872,False,False,False
238,Courtney B. Vance,was born in,Detroit,1960,1960,False,False,False
239,Pam Dawber,was born in,Detroit,1951,1951,False,False,False
240,Robert J. Shiller,was born in,Detroit,1946,1946,False,False,False
241,Warren S. Warren,was born in,Detroit,1955,1955,False,False,False
242,Debbie Dingell,was born in,Detroit,1953,1953,False,False,False
243,John DeLorean,was born in,Detroit,1925,1925,False,False,False
244,Earl Babbie,was born in,Detroit,1938,1938,False,False,False
245,Richard Quine,was born in,Detroit,1920,1920,False,False,False
246,Nancy Garlock Edmunds,was born in,Detroit,1947,1947,False,False,False
247,Bob Murawski,was born in,Detroit,1964,1964,False,False,False
248,Sonny Bono,was born in,Detroit,1935,1935,False,False,False
249,Tom Hulce,was born in,Detroit,1953,1953,False,False,False
250,Jeffrey Stone,was born in,Detroit,1926,1926,False,False,False
251,James Lipton,was born in,Detroit,1926,1926,False,False,False
252,Gail O'Grady,was born in,Detroit,1963,1963,False,False,False
253,Isadore Singer,was born in,Detroit,1924,1924,False,False,False
254,Matthew Dowd,was born in,Detroit,1961,1961,False,False,False
255,Grant Show,was born in,Detroit,1962,1962,False,False,False
256,Tommy Flanagan,was born in,Detroit,1930,1930,False,False,False
257,Ben Carson,was born in,Detroit,1951,1951,False,False,False
258,Michael Tylo,was born in,Detroit,1948,1948,False,False,False
259,Deb Lacusta,was born in,Detroit,1958,1958,False,False,False
260,Robert Hayden,was born in,Detroit,1913,1913,False,False,False
261,Kerry Bentivolio,was born in,Detroit,1951,1951,False,False,False
262,Candy Carson,was born in,Detroit,1953,1953,False,False,False
263,Carol Christensen,was born in,Detroit,1937,1937,False,False,False
264,Brad Hall,was born in,"Santa Barbara, California",1958,1958,False,False,False
265,Caroline D. Krass,was born in,"Santa Barbara, California",1968,1968,False,False,False
266,Romualdo Pacheco,was born in,"Santa Barbara, California",1831,1831,False,False,False
267,Norris Bradbury,was born in,"Santa Barbara, California",1909,1909,False,False,False
268,Li Yapeng,was born in,China,1971,1971,False,False,False
269,Chen Hong (actress),was born in,China,1968,1968,False,False,False
270,Chen Zihan,was born in,China,1978,1978,False,False,False
271,"Tao Hong (actress, born 1972)",was born in,China,1972,1972,False,True,False
272,Sun Yi (actress),was born in,China,1993,1993,False,False,False
273,Reg Turnbull,was born in,China,1908,1908,False,False,False
274,Peter Koo,was born in,China,1952,1952,False,False,False
275,Robert Tienwen Chien,was born in,China,1931,1931,False,False,False
276,Dong Zijian,was born in,China,1993,1993,False,False,False
277,Xu Zheng (actor),was born in,China,1972,1972,False,False,False
278,Yitang Zhang,was born in,China,1955,1955,False,False,False
279,Yang Zishan,was born in,China,1986,1986,False,False,False
280,Alfred Y. Cho,was born in,China,1937,1937,False,False,False
281,Irene Tsu,was born in,China,1944,1944,False,False,False
282,Peter H. Raven,was born in,China,1936,1936,False,False,False
283,Jiang Qinqin,was born in,China,1975,1975,False,False,False
284,Nina Wang,was born in,China,1937,1937,False,False,False
285,Jane Engelhard,was born in,China,1917,1917,False,False,False
286,Zhang Jin,was born in,China,1974,1974,False,False,False
287,Yue Fei,was born in,China,1142,1142,False,False,False
288,Ye Qianyu,was born in,China,1907,1907,False,False,False
289,Te-Pei Feng,was born in,China,1907,1907,False,False,False
290,Alice S. Huang,was born in,China,1939,1939,False,False,False
291,Dou Wei,was born in,China,1969,1969,False,False,False
292,Teh Cheang Wan,was born in,China,1928,1928,False,False,False
293,Chien-Shiung Wu,was born in,China,1912,1912,False,False,False
294,Gregory Chow,was born in,China,1930,1930,False,False,False
295,Wang Feng (singer),was born in,China,1971,1971,False,False,False
296,Gao Yuanyuan,was born in,China,1979,1979,False,False,False
297,Fei-Fei Li,was born in,China,1976,1976,False,False,False
298,Zhang Ziyi,was born in,China,1979,1979,False,False,False
299,Huang Chen-ya,was born in,China,1939,1939,False,False,False
300,Dai Xiangyu,was born in,China,1984,1984,False,False,False
301,Faye Wong,was born in,China,1969,1969,False,False,False
302,Jiang Ying (musician),was born in,China,1919,1919,False,False,False
303,Chen Jianbin,was born in,China,1970,1970,False,False,False
304,T. T. Chang,was born in,China,1927,1927,False,False,False
305,Yuan-Cheng Fung,was born in,China,1919,1919,False,False,False
306,Jayne Meadows,was born in,China,1919,1919,False,False,False
307,Chia-Chiao Lin,was born in,China,1916,1916,False,False,False
308,Sho-Chieh Tsiang,was born in,China,1918,1918,False,False,False
309,Wang Renmei,was born in,China,1914,1914,False,False,False
310,Pétala Monteiro,was born in,"São Luís, Maranhão",1987,1987,False,False,False
311,Sarney Filho,was born in,"São Luís, Maranhão",1957,1957,False,False,False
312,Flávio Dino,was born in,"São Luís, Maranhão",1968,1968,False,False,False
313,Astro de Ogum,was born in,"São Luís, Maranhão",1957,1957,False,False,False
314,José Reinaldo Tavares,was born in,"São Luís, Maranhão",1939,1939,False,False,False
315,Maryam Mirzakhani,was born in,Tehran,1977,1977,False,False,False
316,Shahnaz Pahlavi,was born in,Tehran,1940,1940,False,False,False
317,Ardeshir Zahedi,was born in,Tehran,1928,1928,False,False,False
318,Sahar Dolatshahi,was born in,Tehran,1979,1979,False,False,False
319,Homa Rousta,was born in,Tehran,1946,1946,False,False,False
320,Fariborz Arabnia,was born in,Tehran,1964,1964,False,False,False
321,Ateneh Faghih Nasiri,was born in,Tehran,1968,1968,False,False,False
322,Negar Javaherian,was born in,Tehran,1983,1983,False,False,False
323,Rambod Javan,was born in,Tehran,1971,1971,False,False,False
324,Hamid Samandarian,was born in,Tehran,1931,1931,False,False,False
325,Antoine de Saint-Exupéry,was born in,Lyon,1900,1900,False,False,False
326,Carl Medjani,was born in,Lyon,1985,1985,False,False,False
327,David Charvet,was born in,Lyon,1972,1972,False,False,False
328,Raymond Domenech,was born in,Lyon,1952,1952,False,False,False
329,Laurent Wauquiez,was born in,Lyon,1975,1975,False,False,False
330,Eric Cantona,was born in,Marseille,1966,1966,False,False,False
331,Ariane Ascaride,was born in,Marseille,1954,1954,False,False,False
332,France Nuyen,was born in,Marseille,1939,1939,False,False,False
333,Robert Guédiguian,was born in,Marseille,1953,1953,False,False,False
334,Alberto Moravia,was born in,Rome,1907,1907,False,False,False
335,Ira von Fürstenberg,was born in,Rome,1940,1940,False,False,False
336,Roberto Giachetti,was born in,Rome,1961,1961,False,False,False
337,Elena Varzi,was born in,Rome,1926,1926,False,False,False
338,Ivano Trotta,was born in,Rome,1977,1977,False,False,False
339,Alberto Aquilani,was born in,Rome,1984,1984,False,False,False
340,Sergio Castellitto,was born in,Rome,1953,1953,False,False,False
341,Nicola Cabibbo,was born in,Rome,1935,1935,False,False,False
342,Luciana Paluzzi,was born in,Rome,1937,1937,False,False,False
343,Francesco Totti,was born in,Rome,1976,1976,False,False,False
344,Julius Evola,was born in,Rome,1898,1898,False,False,False
345,Walter Veltroni,was born in,Rome,1955,1955,False,False,False
346,Enrico Fermi,was born in,Rome,1901,1901,False,False,False
347,Franco Frattini,was born in,Rome,1957,1957,False,False,False
348,Lola Albright,was born in,"Akron, Ohio",1924,1924,False,False,False
349,Richard Smalley,was born in,"Akron, Ohio",1943,1943,False,False,False
350,Choi Won-young,was born in,South Korea,1976,1976,False,False,False
351,Kim Hyo-jin,was born in,South Korea,1984,1984,False,False,False
352,Lee Tae-sung,was born in,South Korea,1985,1985,False,False,False
353,Shim Yi-young,was born in,South Korea,1980,1980,False,False,False
354,Kim Ho-jin,was born in,South Korea,1970,1970,False,False,False
355,Shin Ae-ra,was born in,South Korea,1969,1969,False,False,False
356,Son Ji-chang,was born in,South Korea,1970,1970,False,False,False
357,Lee Eung-kyung,was born in,South Korea,1966,1966,False,False,False
358,Kaang Bong-kiun,was born in,South Korea,1961,1961,False,False,False
359,Lee Jin-woo (actor),was born in,South Korea,1969,1969,False,False,False
360,Choi Eun-hee,was born in,South Korea,1926,1926,False,False,False
361,Hong Eun-hee,was born in,South Korea,1980,1980,False,False,False
362,Son Jun-ho (actor),was born in,South Korea,1983,1983,False,False,False
363,Athena Chu,was born in,British Hong Kong,1971,1971,False,False,False
364,Henry Lee Junior,was born in,British Hong Kong,1958,1958,False,False,False
365,Maggie Cheung,was born in,British Hong Kong,1964,1964,False,False,False
366,Chapman To,was born in,British Hong Kong,1972,1972,False,False,False
367,William Anders,was born in,British Hong Kong,1933,1933,False,False,False
368,Paul Wong (musician),was born in,British Hong Kong,1964,1964,False,False,False
369,Cheung Yin-tung,was born in,British Hong Kong,1964,1964,False,False,False
370,Kristal Tin,was born in,British Hong Kong,1977,1977,False,False,False
371,Candice Yu,was born in,British Hong Kong,1959,1959,False,False,False
372,Pinky Lai,was born in,British Hong Kong,1951,1951,False,False,False
373,Emily Lau,was born in,British Hong Kong,1952,1952,False,False,False
374,Edith Frank,was born in,Aachen,1900,1900,False,False,False
375,Ludwig Mies van der Rohe,was born in,Aachen,1886,1886,False,False,False
376,Hywel Simons,was born in,Neath,1970,1970,False,False,False
377,Katherine Jenkins,was born in,Neath,1980,1980,False,False,False
378,William Squire,was born in,Neath,1917,1917,False,False,False
379,Alfred G. Gilman,was born in,"New Haven, Connecticut",1941,1941,False,False,False
380,Josiah Willard Gibbs,was born in,"New Haven, Connecticut",1839,1839,False,False,False
381,John Bedford Lloyd,was born in,"New Haven, Connecticut",1956,1956,False,False,False
382,Deane Keller,was born in,"New Haven, Connecticut",1901,1901,False,False,False
383,Michael G. Moye,was born in,"New Haven, Connecticut",1954,1954,False,False,False
384,John Huggins,was born in,"New Haven, Connecticut",1945,1945,False,False,False
385,Henry Baldwin (judge),was born in,"New Haven, Connecticut",1780,1780,False,False,False
386,Harry Myers,was born in,"New Haven, Connecticut",1882,1882,False,False,False
387,James Campbell Matthews,was born in,"New Haven, Connecticut",1844,1844,False,False,False
388,Elliot See,was born in,Dallas,1927,1927,False,False,False
389,Bebe Daniels,was born in,Dallas,1901,1901,False,False,False
390,Robert Lee Moore,was born in,Dallas,1882,1882,False,False,False
391,Harriet Miers,was born in,Dallas,1945,1945,False,False,False
392,Stephanie March,was born in,Dallas,1974,1974,False,False,False
393,Aaron Spelling,was born in,Dallas,1923,1923,False,False,False
394,Melinda Gates,was born in,Dallas,1964,1964,False,False,False
395,Scoot McNairy,was born in,Dallas,1977,1977,False,False,False
396,Clayton Kershaw,was born in,Dallas,1988,1988,False,False,False
397,JoGayle Howard,was born in,Dallas,1951,1951,False,False,False
398,Amy Acker,was born in,Dallas,1976,1976,False,False,False
399,Olivier Assayas,was born in,Paris,1955,1955,False,False,False
400,Eric Garris,was born in,Paris,1953,1953,False,False,False
401,Aline Caroline de Rothschild,was born in,Paris,1867,1867,False,False,False
402,Béatrice Schönberg,was born in,Paris,1953,1953,False,False,False
403,Hervé Villechaize,was born in,Paris,1943,1943,False,False,False
404,Xavi Moro,was born in,Paris,1975,1975,False,False,False
405,Sebastian Roché,was born in,Paris,1964,1964,False,False,False
406,Jacques Chirac,was born in,Paris,1932,1932,False,False,False
407,Frédéric Salat-Baroux,was born in,Paris,1963,1963,False,False,False
408,Elizabeth F. Neufeld,was born in,Paris,1928,1928,False,False,False
409,Jean Genet,was born in,Paris,1910,1910,False,False,False
410,Corinne Calvet,was born in,Paris,1925,1925,False,False,False
411,Rachel Rosenthal,was born in,Paris,1926,1926,False,False,False
412,Micheline Cheirel,was born in,Paris,1917,1917,False,False,False
413,Michel Déon,was born in,Paris,1919,1919,False,False,False
